"rule"; "support"; "interactions"; "coverage"
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb & enableTranslation=TRUE"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=postgresql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & useSass=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=maven & enableTranslation=FALSE"; 0.02; 8; 0.05
